Id,City,2000 population,2010 population,2014 population estimate
1600000US0626000,"Fremont, California",203413,214089,228760
1600000US0627000,"Fresno, California",427652,494665,515985
1600000US0628000,"Fullerton, California",126003,135161,139663
1600000US0629000,"Garden Grove, California",165196,170883,175085
1600000US0630000,"Glendale, California",194973,191719,200161
1600000US0633000,"Hayward, California",140030,144186,154633
1600000US0636000,"Huntington Beach, California",189594,189992,200814
1600000US0636546,"Inglewood, California",112580,109673,111901
1600000US0636770,"Irvine, California",143072,212375,248521
1600000US0640130,"Lancaster, California",118718,156633,161036
1600000US0643000,"Long Beach, California",461522,462257,473605
1600000US0644000,"Los Angeles, California",3694820,3792621,3928827
1600000US0648354,"Modesto, California",188856,201165,209308
1600000US0649270,"Moreno Valley, California",142381,193365,202978
1600000US0650076,"Murrieta, California",44282,103466,108371
1600000US0652526,"Norwalk, California",103298,105549,107111
1600000US0653000,"Oakland, California",399484,390724,413782
1600000US0653322,"Oceanside, California",161029,167086,174552
1600000US0653896,"Ontario, California",158007,163924,169085
1600000US0653980,"Orange, California",128821,136416,139826
1600000US0654652,"Oxnard, California",170358,197899,205434
1600000US0655156,"Palmdale, California",116670,152750,158274
1600000US0656000,"Pasadena, California",133936,137122,140860
1600000US0658072,"Pomona, California",149473,149058,153381
1600000US0659451,"Rancho Cucamonga, California",127743,165269,174302
1600000US0660466,"Rialto, California",91873,99171,102740
1600000US0660620,"Richmond, California",99216,103701,108562
1600000US0662000,"Riverside, California",255166,303871,319519
1600000US0662938,"Roseville, California",79921,118788,128593
1600000US0664000,"Sacramento, California",407018,466488,485193
1600000US0664224,"Salinas, California",151060,150441,156678
1600000US0665000,"San Bernardino, California",185401,209924,215227
1600000US0665042,"San Buenaventura (Ventura), California",100916,106433,109478
1600000US0666000,"San Diego, California",1223400,1307402,1381083
1600000US0667000,"San Francisco, California",776733,805235,852469
1600000US0668000,"San Jose, California",894943,945942,1015796
1600000US0668252,"San Mateo, California",92482,97207,102885
1600000US0669000,"Santa Ana, California",337977,324528,334924
1600000US0669084,"Santa Clara, California",102361,116468,122198
1600000US0669088,"Santa Clarita, California",151088,176320,181559
1600000US0669196,"Santa Maria, California",77423,99553,103414
1600000US0670098,"Santa Rosa, California",147595,167815,174166
1600000US0672016,"Simi Valley, California",111351,124237,126873
1600000US0675000,"Stockton, California",243771,291707,302405
1600000US0677000,"Sunnyvale, California",131760,140081,149984
1600000US0678120,"Temecula, California",57716,100097,109446
1600000US0678582,"Thousand Oaks, California",117005,126683,129344
1600000US0680000,"Torrance, California",137946,145438,148483
1600000US0681666,"Vallejo, California",116760,115942,120210
1600000US0682590,"Victorville, California",64029,115903,121911
1600000US0682954,"Visalia, California",91565,124442,129280
1600000US0684200,"West Covina, California",105080,106098,108445
1600000US0803455,"Arvada, Colorado",102153,106433,113775
1600000US0804000,"Aurora, Colorado",276393,325078,353381
1600000US0807850,"Boulder, Colorado",94673,97385,105101
1600000US0816000,"Colorado Springs, Colorado",360890,416427,445820
1600000US0820000,"Denver, Colorado",554636,600158,663862
1600000US0827425,"Fort Collins, Colorado",118652,143986,156473
1600000US0836410,"Highlands Ranch, Colorado",70931,96713,100192
1600000US0843000,"Lakewood, Colorado",144126,142980,149650
1600000US0862000,"Pueblo, Colorado",102121,106595,108439
1600000US0877290,"Thornton, Colorado",82384,118772,130309
1600000US0883835,"Westminster, Colorado",100940,106114,112099
1600000US0908000,"Bridgeport, Connecticut",139529,144229,147608
1600000US0937000,"Hartford, Connecticut",121578,124775,124721
