Id,City,Population estimate
1600000US2582000,"Worcester city, Massachusetts",183033
1600000US4810768,"Brownsville city, Texas",183016
1600000US5156000,"Newport News city, Virginia",182965
1600000US0669088,"Santa Clarita city, California",181559
1600000US4459000,"Providence city, Rhode Island",179142
1600000US1224000,"Fort Lauderdale city, Florida",176018
1600000US0629000,"Garden Grove city, California",175085
1600000US0653322,"Oceanside city, California",174552
1600000US0659451,"Rancho Cucamonga city, California",174302
1600000US0670098,"Santa Rosa city, California",174166
1600000US1258715,"Port St. Lucie city, Florida",174093
1600000US4714000,"Chattanooga city, Tennessee",173778
1600000US0473000,"Tempe city, Arizona",172836
1600000US2836000,"Jackson city, Mississippi",171146
1600000US1210275,"Cape Coral city, Florida",169855
1600000US5374060,"Vancouver city, Washington",169303
1600000US0653896,"Ontario city, California",169085
1600000US4659020,"Sioux Falls city, South Dakota",168604
1600000US0454050,"Peoria city, Arizona",166955
1600000US2970000,"Springfield city, Missouri",165399
1600000US1255775,"Pembroke Pines city, Florida",164625
1600000US0622020,"Elk Grove city, California",163560
1600000US4164900,"Salem city, Oregon",161648
1600000US0616350,"Corona city, California",161498
1600000US0640130,"Lancaster city, California",161036
1600000US4123850,"Eugene city, Oregon",160552
1600000US0655156,"Palmdale city, California",158274
1600000US4845744,"McKinney city, Texas",156753
1600000US0664224,"Salinas city, California",156678
1600000US0827425,"Fort Collins city, Colorado",156473
1600000US3710740,"Cary town, North Carolina",155724
1600000US0633000,"Hayward city, California",154633
1600000US2567000,"Springfield city, Massachusetts",153994
1600000US4856000,"Pasadena city, Texas",153914
1600000US1349008,"Macon-Bibb County, Georgia",153633
1600000US0658072,"Pomona city, California",153381
1600000US5101000,"Alexandria city, Virginia",150575
1600000US0622804,"Escondido city, California",150252
1600000US0677000,"Sunnyvale city, California",149984
1600000US0843000,"Lakewood city, Colorado",149650
1600000US1765000,"Rockford city, Illinois",148996
1600000US0680000,"Torrance city, California",148483
1600000US2036000,"Kansas City city, Kansas",148323
1600000US1232000,"Hollywood city, Florida",148040
1600000US0908000,"Bridgeport city, Connecticut",147608
1600000US4715160,"Clarksville city, Tennessee",146814
1600000US3457000,"Paterson city, New Jersey",146746
1600000US1738570,"Joliet city, Illinois",146578
1600000US1751622,"Naperville city, Illinois",145396
1600000US4827684,"Frisco city, Texas",145038
1600000US1369000,"Savannah city, Georgia",144355
1600000US4847892,"Mesquite city, Texas",144289
1600000US3673000,"Syracuse city, New York",144263
1600000US2250115,"Metairie CDP, Louisiana",144239
1600000US3921000,"Dayton city, Ohio",140995
1600000US0656000,"Pasadena city, California",140860
1600000US0653980,"Orange city, California",139826
1600000US0628000,"Fullerton city, California",139663
1600000US4845384,"McAllen city, Texas",138584
1600000US4839148,"Killeen city, Texas",138143
1600000US5135000,"Hampton city, Virginia",136879
1600000US5305210,"Bellevue city, Washington",136426
1600000US2684000,"Warren city, Michigan",135099
1600000US1245975,"Miramar city, Florida",134991
1600000US4983470,"West Valley City city, Utah",134492
1600000US2052575,"Olathe city, Kansas",133059
1600000US4516000,"Columbia city, South Carolina",131758
1600000US2676460,"Sterling Heights city, Michigan",131729
1600000US4513330,"Charleston city, South Carolina",130750
1600000US0877290,"Thornton city, Colorado",130309
1600000US0952000,"New Haven city, Connecticut",130285
1600000US4876000,"Waco city, Texas",130191
1600000US0678582,"Thousand Oaks city, California",129344
1600000US0682954,"Visalia city, California",129280
1600000US1912000,"Cedar Rapids city, Iowa",129183
1600000US3421000,"Elizabeth city, New Jersey",128695
1600000US0662938,"Roseville city, California",128593
1600000US1225175,"Gainesville city, Florida",128474
1600000US4813024,"Carrollton city, Texas",128342
1600000US0973000,"Stamford city, Connecticut",128283
1600000US4819972,"Denton city, Texas",128200
1600000US4848072,"Midland city, Texas",128037
1600000US1214400,"Coral Springs city, Florida",127963
1600000US0616000,"Concord city, California",127511
1600000US2071000,"Topeka city, Kansas",127223
1600000US0672016,"Simi Valley city, California",126873
1600000US3223770,"Enterprise CDP, Nevada",126438
1600000US0471510,"Surprise city, Arizona",126278
1600000US2240735,"Lafayette city, Louisiana",126068
1600000US5335415,"Kent city, Washington",125547
1600000US0937000,"Hartford city, Connecticut",124721
1600000US0669084,"Santa Clara city, California",122198
1600000US0682590,"Victorville city, California",121911
1600000US1822000,"Evansville city, Indiana",121299
1600000US4751560,"Murfreesboro city, Tennessee",120960
